[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=14, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[INFO ] 2019-06-17 03:55:34 [Thread-2] Ladder:48 - Ladder 19 has started disembarkation on plane 2
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=27, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=29, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=31, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=37, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=39, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=45, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=47, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=48, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=51, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=58, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=63, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=64, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=65, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=66, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=71, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=73, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=81, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=83, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=92, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=95, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:52 - 26 passagers were added to ladder 17
[INFO ] 2019-06-17 03:55:34 [Thread-1] Terminal:52 - Terminal 1 has ended disembarkation.
[DEBUG] 2019-06-17 03:55:34 [Thread-0] DisembarkationAction:26 - Plane size: 26
[INFO ] 2019-06-17 03:55:34 [Thread-0] DisembarkationAction:27 - Plane 1 is full
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:52 - Ladder 17 has ended disembarkation on plane 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=2, terminalId=2, passagerTarget=TO_DISAMBARK] added to terminal 2
[INFO ] 2019-06-17 03:55:34 [Thread-3] Terminal:49 - Terminal 2 has started disembarkation,on ladder 19.
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:68 - No plane to perfome. Starting to find for one.
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=8, terminalId=2, passagerTarget=TO_DISAMBARK] added to terminal 2
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:74 - Ladder 17 found the plane.
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=10, terminalId=2, passagerTarget=TO_DISAMBARK] added to terminal 2
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=11, terminalId=2, passagerTarget=TO_DISAMBARK] added to terminal 2
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:44 - Ladder17 has a plane to performe actions.
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=15, terminalId=2, passagerTarget=TO_DISAMBARK] added to terminal 2
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:48 - Ladder 17 has started disembarkation on plane 3
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=20, terminalId=2, passagerTarget=TO_DISAMBARK] added to terminal 2
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=21, terminalId=2, passagerTarget=TO_DISAMBARK] added to terminal 2
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=23, terminalId=2, passagerTarget=TO_DISAMBARK] added to terminal 2
